req_id,fn_id
CS1000,CS_NoopCmd
CS1001,CS_ResetCmd
CS1002,CS_VerifyCmdLength
CS1002,CS_NoopCmd
CS1002,CS_ResetCmd
CS1002,CS_OneShotCmd
CS1002,CS_CancelOneShotCmd
CS1002,CS_EnableAllCSCmd
CS1002,CS_DisableAllCSCmd
CS1002,CS_EnableCfeCoreCmd
CS1002,CS_DisableCfeCoreCmd
CS1002,CS_ReportBaselineCfeCoreCmd
CS1002,CS_RecomputeBaselineCfeCoreCmd
CS1002,CS_EnableOSCmd
CS1002,CS_DisableOSCmd
CS1002,CS_ReportBaselineOSCmd
CS1002,CS_RecomputeBaselineOSCmd
CS1002,CS_EnableEepromCmd
CS1002,CS_DisableEepromCmd
CS1002,CS_ReportBaselineEntryIDEepromCmd
CS1002,CS_RecomputeBaselineEepromCmd
CS1002,CS_EnableEntryIDEepromCmd
CS1002,CS_DisableEntryIDEepromCmd
CS1002,CS_GetEntryIDEepromCmd
CS1002,CS_EnableMemoryCmd
CS1002,CS_DisableMemoryCmd
CS1002,CS_ReportBaselineEntryIDMemoryCmd
CS1002,CS_RecomputeBaselineMemoryCmd
CS1002,CS_EnableEntryIDMemoryCmd
CS1002,CS_DisableEntryIDMemoryCmd
CS1002,CS_GetEntryIDMemoryCmd
CS1002,CS_EnableTablesCmd
CS1002,CS_DisableTablesCmd
CS1002,CS_ReportBaselineTableCmd
CS1002,CS_RecomputeBaselineTableCmd
CS1002,CS_EnableNameTableCmd
CS1002,CS_DisableNameTableCmd
CS1002,CS_EnableAppsCmd
CS1002,CS_DisableAppsCmd
CS1002,CS_ReportBaselineAppCmd
CS1002,CS_RecomputeBaselineAppCmd
CS1002,CS_EnableNameAppCmd
CS1002,CS_DisableNameAppCmd
CS1003,CS_NoopCmd
CS1003,CS_ResetCmd
CS1003,CS_OneShotCmd
CS1003,CS_CancelOneShotCmd
CS1003,CS_EnableAllCSCmd
CS1003,CS_DisableAllCSCmd
CS1003,CS_EnableCfeCoreCmd
CS1003,CS_DisableCfeCoreCmd
CS1003,CS_ReportBaselineCfeCoreCmd
CS1003,CS_RecomputeBaselineCfeCoreCmd
CS1003,CS_EnableOSCmd
CS1003,CS_DisableOSCmd
CS1003,CS_ReportBaselineOSCmd
CS1003,CS_RecomputeBaselineOSCmd
CS1003,CS_EnableEepromCmd
CS1003,CS_DisableEepromCmd
CS1003,CS_ReportBaselineEntryIDEepromCmd
CS1003,CS_RecomputeBaselineEepromCmd
CS1003,CS_EnableEntryIDEepromCmd
CS1003,CS_DisableEntryIDEepromCmd
CS1003,CS_GetEntryIDEepromCmd
CS1003,CS_EnableMemoryCmd
CS1003,CS_DisableMemoryCmd
CS1003,CS_ReportBaselineEntryIDMemoryCmd
CS1003,CS_RecomputeBaselineMemoryCmd
CS1003,CS_EnableEntryIDMemoryCmd
CS1003,CS_DisableEntryIDMemoryCmd
CS1003,CS_GetEntryIDMemoryCmd
CS1003,CS_EnableTablesCmd
CS1003,CS_DisableTablesCmd
CS1003,CS_ReportBaselineTableCmd
CS1003,CS_RecomputeBaselineTableCmd
CS1003,CS_EnableNameTableCmd
CS1003,CS_DisableNameTableCmd
CS1003,CS_EnableAppsCmd
CS1003,CS_DisableAppsCmd
CS1003,CS_ReportBaselineAppCmd
CS1003,CS_RecomputeBaselineAppCmd
CS1003,CS_EnableNameAppCmd
CS1003,CS_DisableNameAppCmd
CS1004,CS_ProcessCmd
CS1004,CS_VerifyCmdLength
CS1004,CS_NoopCmd
CS1004,CS_ResetCmd
CS1004,CS_OneShotCmd
CS1004,CS_CancelOneShotCmd
CS1004,CS_EnableAllCSCmd
CS1004,CS_DisableAllCSCmd
CS1004,CS_EnableCfeCoreCmd
CS1004,CS_DisableCfeCoreCmd
CS1004,CS_ReportBaselineCfeCoreCmd
CS1004,CS_RecomputeBaselineCfeCoreCmd
CS1004,CS_EnableOSCmd
CS1004,CS_DisableOSCmd
CS1004,CS_ReportBaselineOSCmd
CS1004,CS_RecomputeBaselineOSCmd
CS1004,CS_EnableEepromCmd
CS1004,CS_DisableEepromCmd
CS1004,CS_ReportBaselineEntryIDEepromCmd
CS1004,CS_RecomputeBaselineEepromCmd
